,fecha,agencia_id,canal_id,producto_id,venta_uni,labeled_producto,labeled_agencia,labeled_canal,prediction
10352,2017-09-28,12808,1,9784,350,4,14,0,322.0
11071,2017-10-12,12765,1,123576,350,18,9,0,519.3846153846154
13516,2017-11-23,12752,1,7840,350,3,6,0,378.8
14258,2017-12-07,12636,4,38588,350,8,1,2,165.0
18612,2018-02-08,12820,1,39109,350,9,16,0,227.8403361344538
19133,2018-02-22,12656,4,38588,350,8,2,2,371.0
20325,2018-03-08,12841,1,9784,350,4,18,0,57.0
22102,2018-04-12,12636,2,7840,350,3,1,1,1610.0
22649,2018-04-19,12752,4,39109,350,9,6,2,408.8181818181818
11089,2017-10-12,12779,1,9784,349,4,10,0,368.0
13178,2017-11-16,12765,1,39109,349,9,9,0,17.133333333333333
15682,2017-12-28,12765,1,123492,349,17,9,0,821.75
16373,2018-01-04,12752,1,7840,349,3,6,0,378.8
16641,2018-01-04,12841,2,7840,349,3,18,1,1680.0
18016,2018-02-01,12752,4,42158,349,12,6,2,181.0
14273,2017-12-07,12656,1,123576,348,18,2,0,85.0
16140,2018-01-01,12803,1,39109,348,9,13,0,227.8403361344538
16509,2018-01-04,12797,4,6437,348,1,11,2,382.375
20569,2018-03-15,12765,4,6437,348,1,9,2,1026.0
22360,2018-04-12,12797,4,6437,348,1,11,2,382.375
10277,2017-09-28,12779,1,39109,347,9,10,0,84.61904761904762
10669,2017-10-05,12765,4,6437,347,1,9,2,1026.0
12461,2017-11-02,12809,1,41653,347,10,15,0,165.2
