fecha,agencia_id,canal_id,producto_id,venta_uni,Week,Month,lag1month,lag2month,lag4month,lag8month,lag05month,lag6month,lag3month
2017-07-06,3,1,32354,70,27,7,273,542,812,812,542,812,812
2017-07-06,5,4,123460,79,27,7,190,560,912,912,560,912,912
2017-07-06,9,2,7840,833,27,7,4722,7382,12683,12683,7382,12683,12683
2017-07-06,16,1,38588,618,27,7,2442,5620,9492,9492,5620,9492,9492
2017-07-06,0,1,6011,90,27,7,313,355,487,487,355,487,487
2017-07-06,9,2,123238,20,27,7,190,350,350,350,350,350,350
2017-07-06,17,1,33258,102,27,7,398,821,1371,1371,821,1371,1371
2017-07-06,18,4,7840,267,27,7,704,1356,2249,2249,1356,2249,2249
2017-07-06,5,1,6555,4948,27,7,16791,33684,55518,55518,33684,55518,55518
2017-07-06,8,4,35549,40,27,7,122,200,325,325,200,325,325
2017-07-06,7,4,6437,2552,27,7,6266,10032,19182,19182,10032,19182,19182
2017-07-06,10,1,6555,1189,27,7,4108,8494,13754,13754,8494,13754,13754
2017-07-06,7,1,39109,1,27,7,0,4,1242,1242,4,1242,1242
2017-07-06,14,2,7840,1678,27,7,6362,9922,37361,37361,9922,37361,37361
2017-07-06,10,1,7840,1083,27,7,4149,9439,18214,18214,9439,18214,18214
2017-07-06,6,1,41653,20,27,7,117,222,415,415,222,415,415
