,fecha,agencia_id,canal_id,producto_id,venta_uni,agencia_orig,producto_orig,canal_orig,fechaLab,season,isholiday,isholidayyesterday,isholidaytomorrow,Week,Month,lag1month,lag05month,lag05rollavg2,lag05rollavg3,lag2rollavg3,lag05ewma3,lag05ewma8,lag2ewma3,lag4ewma3,lag05ewma3lag05ewma8,lag2ewma3lag4ewma3,price
89,2017-05-11,4,0,8,238,12732,38588,1,5,1,0,1,0,19,5,527,665,362.0,261.0,286.0,682.0,1847.0,682.0,536.0,-1165.0,146.0,5
90,2017-05-11,4,0,10,20,12732,41653,1,5,1,0,1,0,19,5,79,97,381.0,274.0,303.0,390.0,1458.0,390.0,308.0,-1068.0,82.0,109
91,2017-05-11,4,0,11,13,12732,42124,1,5,1,0,1,0,19,5,676,936,516.0,566.0,378.0,663.0,1342.0,663.0,492.0,-679.0,171.0,12
92,2017-05-11,4,0,12,271,12732,42158,1,5,1,0,1,0,19,5,953,1230,1083.0,754.0,814.0,946.0,1317.0,946.0,722.0,-371.0,224.0,7
93,2017-05-11,4,0,17,237,12732,123492,1,5,1,0,1,0,19,5,770,1016,1123.0,1061.0,862.0,981.0,1250.0,981.0,746.0,-269.0,235.0,8
94,2017-05-11,4,0,18,331,12732,123576,1,5,1,0,1,0,19,5,977,1297,1156.0,1181.0,874.0,1139.0,1261.0,1139.0,862.0,-122.0,277.0,7
95,2017-05-11,4,2,1,302,12732,6437,4,5,1,0,1,0,19,5,725,946,1122.0,1086.0,851.0,1043.0,1191.0,1043.0,793.0,-148.0,250.0,7
96,2017-05-11,4,2,3,1325,12732,7840,4,5,1,0,1,0,19,5,8081,9691,5318.0,3978.0,4403.0,5367.0,3080.0,5367.0,4437.0,2287.0,930.0,5
97,2017-05-11,4,2,7,155,12732,35549,4,5,1,0,1,0,19,5,497,625,5158.0,3754.0,4289.0,2996.0,2534.0,2996.0,2467.0,462.0,529.0,17
98,2017-05-11,4,2,16,199,12732,123460,4,5,1,0,1,0,19,5,205,286,456.0,3534.0,351.0,1641.0,2035.0,1641.0,1336.0,-394.0,305.0,23
99,2017-05-11,5,0,0,59,12750,6011,1,5,1,0,1,0,19,5,351,516,401.0,476.0,278.0,1078.0,1697.0,1078.0,844.0,-619.0,234.0,16
100,2017-05-11,5,0,1,6574,12750,6437,1,5,1,0,1,0,19,5,24826,31867,16192.0,10890.0,12588.0,16473.0,8402.0,16473.0,12835.0,8071.0,3638.0,7
101,2017-05-11,5,0,2,3941,12750,6555,1,5,1,0,1,0,19,5,16926,21834,26850.0,18072.0,20876.0,19153.0,11387.0,19153.0,14880.0,7766.0,4273.0,7
102,2017-05-11,5,0,3,4142,12750,7840,1,5,1,0,1,0,19,5,24097,32738,27286.0,28813.0,20512.0,25946.0,16131.0,25946.0,19489.0,9815.0,6457.0,5
103,2017-05-11,5,0,4,197,12750,9784,1,5,1,0,1,0,19,5,392,468,16603.0,18347.0,12244.0,13207.0,12651.0,13207.0,9940.0,556.0,3267.0,11
104,2017-05-11,5,0,5,42,12750,32354,1,5,1,0,1,0,19,5,301,375,422.0,11194.0,346.0,6791.0,9923.0,6791.0,5121.0,-3132.0,1670.0,16
105,2017-05-11,5,0,6,50,12750,33258,1,5,1,0,1,0,19,5,179,214,294.0,352.0,240.0,3502.0,7765.0,3502.0,2650.0,-4263.0,852.0,71
106,2017-05-11,5,0,8,3122,12750,38588,1,5,1,0,1,0,19,5,9913,13249,6732.0,4613.0,5046.0,8376.0,8984.0,8376.0,6281.0,-608.0,2095.0,5
107,2017-05-11,5,0,9,297,12750,39109,1,5,1,0,1,0,19,5,1731,2213,7731.0,5225.0,5822.0,5294.0,7479.0,5294.0,4006.0,-2185.0,1288.0,10
108,2017-05-11,5,0,10,163,12750,41653,1,5,1,0,1,0,19,5,611,763,1488.0,5408.0,1171.0,3029.0,5987.0,3029.0,2309.0,-2958.0,720.0,109
109,2017-05-11,5,0,12,5072,12750,42158,1,5,1,0,1,0,19,5,19708,24858,12810.0,9278.0,10160.0,13943.0,10180.0,13943.0,11008.0,3763.0,2935.0,7
110,2017-05-11,5,0,13,2,12750,44117,1,5,1,0,1,0,19,5,33,94,12476.0,8572.0,9870.0,7019.0,7939.0,7019.0,5521.0,-920.0,1498.0,345
111,2017-05-11,5,0,15,92,12750,123335,1,5,1,0,1,0,19,5,649,1069,582.0,8674.0,341.0,4044.0,6412.0,4044.0,3085.0,-2368.0,959.0,7
112,2017-05-11,5,0,17,1158,12750,123492,1,5,1,0,1,0,19,5,11881,16673,8871.0,5945.0,6265.0,10358.0,8692.0,10358.0,7483.0,1666.0,2875.0,8
113,2017-05-11,5,0,18,2763,12750,123576,1,5,1,0,1,0,19,5,12228,16097,16385.0,11280.0,12054.0,13228.0,10338.0,13228.0,9855.0,2890.0,3373.0,7
114,2017-05-11,5,1,3,210,12750,7840,2,5,1,0,1,0,19,5,7193,7539,11818.0,13436.0,9710.0,10383.0,9716.0,10383.0,8524.0,667.0,1859.0,5
115,2017-05-11,5,1,7,70,12750,35549,2,5,1,0,1,0,19,5,589,809,4174.0,8148.0,3891.0,5596.0,7737.0,5596.0,4557.0,-2141.0,1039.0,17
116,2017-05-11,5,2,0,10,12750,6011,4,5,1,0,1,0,19,5,236,284,546.0,2877.0,412.0,2940.0,6080.0,2940.0,2396.0,-3140.0,544.0,16
117,2017-05-11,5,2,1,462,12750,6437,4,5,1,0,1,0,19,5,1494,2032,1158.0,1042.0,865.0,2486.0,5181.0,2486.0,1945.0,-2695.0,541.0,7
118,2017-05-11,5,2,3,2103,12750,7840,4,5,1,0,1,0,19,5,17915,28655,15344.0,10324.0,9704.0,15571.0,10397.0,15571.0,9930.0,5174.0,5641.0,5
